id,type,varieties,size,tannin,sweet,acidity,body
0,Red,Cabernet Sauvignon,2786,3.6605113636363638,1.0379971590909092,3.2716619318181817,3.8551136363636362
1,Red,Pinot Noir,2276,2.3707521954944637,1.0259641084383353,3.9988545246277205,3.0343642611683848
2,Red,Merlot,1658,3.19237641453246,1.0524121500893389,3.1322215604526504,3.5020845741512807
3,Red,Syrah & Shiraz,1341,3.6693255982596082,1.0500362581580855,3.2480058013052937,3.977519941986947
4,Red,Sangiovese,887,3.0772676371780516,1.0375690607734807,3.547592385218365,3.400895856662934
5,Red,Tempranillo,597,3.1731391585760518,1.1440129449838188,3.0679611650485437,3.661812297734628
6,Red,Grenache,490,3.182795698924731,1.1093189964157706,3.2222222222222223,3.684587813620072
7,Red,Nebbiolo,446,4.17439293598234,1.0,3.7858719646799117,3.532008830022075
8,Red,Malbec,313,3.7563291139240507,1.0569620253164558,3.069620253164557,4.034810126582278
9,Red,Blend,305,2.1770833333333335,1.7309027777777777,2.920138888888889,3.142361111111111
10,Red,Carmenere,252,3.241106719367589,1.0395256916996047,3.0869565217391304,3.4624505928853755
11,Red,Barbera,177,2.8603351955307263,1.111731843575419,3.670391061452514,3.223463687150838
12,Red,Zinfandel,151,2.856382978723404,1.5212765957446808,2.622340425531915,3.8191489361702127
13,Red,Corvina,146,3.1824324324324325,1.5135135135135136,3.060810810810811,4.074324324324325
14,Red,Montepulciano,143,3.3087248322147653,1.0201342281879195,3.315436241610738,3.6912751677852347
15,Red,Monastrell,133,3.1134751773049647,1.3333333333333333,2.9574468085106385,3.780141843971631
16,Red,Garnacha,119,2.8345864661654137,1.1729323308270676,3.0,3.293233082706767
17,Red,Cabernet Franc,118,3.193798449612403,1.1085271317829457,3.3410852713178296,3.7286821705426356
18,Sparkling,Chardonnay,514,1.0053394355453853,1.0655987795575896,3.7086193745232645,3.041952707856598
19,Sparkling,Pinot Noir,311,2.3707521954944637,1.0259641084383353,3.9988545246277205,3.0343642611683848
20,White,Chardonnay,2095,1.0053394355453853,1.0655987795575896,3.7086193745232645,3.041952707856598
21,White,Sauvignon blanc,729,1.0054347826086956,1.141304347826087,3.823369565217391,2.4769021739130435
22,White,Riesling,464,1.0,2.2668067226890756,3.9159663865546217,2.8340336134453783
23,White,Moscato,238,1.0057971014492753,3.9507246376811596,1.9333333333333333,2.1855072463768117
24,White,Semillon,153,1.0,2.8354430379746836,3.107594936708861,3.0443037974683542
25,White,Blend,122,2.1770833333333335,1.7309027777777777,2.920138888888889,3.142361111111111
