	id	name	population	Unnamed: 3
165	GNQ	Equatorial Guinea	unknown	
166	SLB	Solomon Islands	unknown	
167	168	Macau	unknown	not listed
168	169	Cape Verde	unknown	not listed
169	LUX	Luxembourg	unknown	
170	ESH	Western Sahara	unknown	
171	SUR	Suriname	unknown	
172	173	Malta	unknown	not listed
173	174	Maldives	unknown	not listed
174	BRN	Brunei	unknown	
175	BLZ	Belize	unknown	
176	BHS	Bahamas, The	unknown	
177	ISL	Iceland	unknown	
178	179	French Polynesia	unknown	not listed
179	180	Barbados	unknown	not listed
180	181	Mayotte	unknown	not listed
181	NCL	New Caledonia	unknown	
182	183	Netherlands Antilles	unknown	not listed
183	VUT	Vanuatu	unknown	
184	185	Samoa	unknown	not listed
185	186	Sao Tome and Principe	unknown	not listed
186	187	Saint Lucia	unknown	not listed
187	188	Tonga	unknown	not listed
188	189	Virgin Islands	unknown	not listed
189	190	Grenada	unknown	not listed
190	191	Micronesia, Federated States of	unknown	not listed
191	192	Aruba	unknown	not listed
192	193	Saint Vincent and the Grenadines	unknown	not listed
193	194	Kiribati	unknown	not listed
194	195	Jersey	unknown	not listed
195	196	Seychelles	unknown	not listed
196	197	Antigua and Barbuda	unknown	not listed
197	198	Andorra	unknown	not listed
198	199	Isle of Man	unknown	not listed
199	DOM	Dominica	unknown	
200	201	Bermuda	unknown	not listed
201	202	American Samoa	unknown	not listed
202	203	Marshall Islands	unknown	not listed
203	204	Guernsey	unknown	not listed
204	GRL	Greenland	unknown	
205	206	Cayman Islands	unknown	not listed
206	207	Saint Kitts and Nevis	unknown	not listed
207	208	Faroe Islands	unknown	not listed
208	209	Northern Mariana Islands	unknown	not listed
209	210	Liechtenstein	unknown	not listed
210	211	San Marino	unknown	not listed
211	212	Monaco	unknown	not listed
212	213	Saint Martin	unknown	not listed
213	214	Gibraltar	unknown	not listed
214	215	British Virgin Islands	unknown	not listed
215	216	Turks and Caicos Islands	unknown	not listed
216	217	Palau	unknown	not listed
217	218	Akrotiri	unknown	not listed
218	219	Dhekelia	unknown	not listed
219	220	Wallis and Futuna	unknown	not listed
220	221	Anguilla	unknown	not listed
221	222	Nauru	unknown	not listed
222	223	Cook Islands	unknown	not listed
223	224	Tuvalu	unknown	not listed
224	225	Saint Helena, Ascension, and Tristan da Cunha	unknown	not listed
225	226	Saint Barthelemy	unknown	not listed
226	227	Saint Pierre and Miquelon	unknown	not listed
227	228	Montserrat	unknown	not listed
228	FLK	Falkland Islands (Islas Malvinas)	unknown	
229	230	Norfolk Island	unknown	not listed
230	231	Svalbard	unknown	not listed
231	232	Christmas Island	unknown	not listed
232	233	Tokelau	unknown	not listed
233	234	Niue	unknown	not listed
234	235	Holy See (Vatican City)	unknown	not listed
235	236	Cocos (Keeling) Islands	unknown	not listed
236	237	Pitcairn Islands	unknown	not listed
237	ATA	Antarctica	unknown	
238	ATF	French Southern and Antarctic Lands	unknown	
239	SDS	South Sudan	unknown	
240	ABV	Somaliland	unknown	
241	OSA	Kosovo	unknown	
